"activity_at_age_19_appprenticeships","rgn11nm","university_flag"
17.6470588235294,"Yorkshire and The Humber","No university"
17.1052631578947,"West Midlands","No university"
NA,"South East","No university"
17.156862745098,"North East","No university"
13.3891213389121,"South East","No university"
NA,"South East","No university"
NA,"East of England","No university"
NA,"Yorkshire and The Humber","No university"
14.9171270718232,"North West","No university"
21.0144927536232,"North West","No university"
16.2790697674419,"South East","No university"
24.3478260869565,"North West","No university"
8.09248554913295,"East of England","No university"
NA,"East Midlands","No university"
17.2043010752688,"South West","No university"
9.84251968503937,"East of England","No university"
NA,"South East","No university"
13.3971291866029,"South West","No university"
23.2876712328767,"East Midlands","No university"
14.9253731343284,"South West","No university"
NA,"South West","No university"
15.0375939849624,"South West","No university"
14.9122807017544,"West Midlands","No university"
17.5925925925926,"North West","No university"
NA,"South West","No university"
11.0210696920583,"South East","No university"
13.8576779026217,"East Midlands","No university"
16.6666666666667,"South East","No university"
15.0943396226415,"East of England","No university"
8.93470790378007,"East of England","No university"
NA,"South East","No university"
16.9642857142857,"North East","No university"
12.7777777777778,"South East","No university"
10.3875968992248,"South East","No university"
21.5909090909091,"North West","No university"
10.0529100529101,"South West","No university"
15.3846153846154,"Yorkshire and The Humber","No university"
NA,"South East","No university"
11.1111111111111,"East Midlands","No university"
NA,"South West","No university"
9.25925925925926,"East Midlands","No university"
12.9213483146067,"North East","No university"
17.8571428571429,"South East","No university"
16.8103448275862,"North East","No university"
8.92857142857143,"North East","No university"
14.2391304347826,"Yorkshire and The Humber","No university"
18.7279151943463,"East Midlands","No university"
13.0952380952381,"East of England","No university"
19.4029850746269,"North West","No university"
10.9375,"North East","No university"
7.5098814229249,"West Midlands","No university"
19.4805194805195,"West Midlands","No university"
10.6770833333333,"South East","No university"
14.6788990825688,"East Midlands","No university"
18.0451127819549,"East of England","No university"
NA,"North East","No university"
16.8674698795181,"East Midlands","No university"
18.0952380952381,"East of England","No university"
12.2905027932961,"North East","No university"
16.6666666666667,"East of England","No university"
12.9770992366412,"South West","No university"
37.3493975903614,"North West","No university"
9.47775628626692,"East of England","No university"
13.526071244192,"North West","No university"
18.9873417721519,"West Midlands","No university"
16.1904761904762,"North West","No university"
16.1184210526316,"North West","No university"
NA,"West Midlands","No university"
12.396694214876,"East Midlands","No university"
18.6046511627907,"West Midlands","No university"
13.6986301369863,"Yorkshire and The Humber","No university"
12.5748502994012,"South East","No university"
15,"South West","No university"
8.05084745762712,"South East","No university"
12.7049180327869,"East Midlands","No university"
10.4166666666667,"South West","No university"
9.05797101449275,"West Midlands","No university"
11.1984282907662,"East of England","No university"
11.0824742268041,"West Midlands","No university"
NA,"East of England","No university"
8.03571428571429,"South West","No university"
17.1668667466987,"East of England","No university"
NA,"South West","No university"
7.38255033557047,"Yorkshire and The Humber","No university"
10.15625,"East Midlands","No university"
NA,"South West","No university"
NA,"East of England","No university"
13.9573070607553,"West Midlands","No university"
6.32411067193676,"North West","No university"
13.3333333333333,"North West","No university"
NA,"East Midlands","No university"
NA,"South West","No university"
11.7021276595745,"Yorkshire and The Humber","No university"
11.5755627009646,"East Midlands","No university"
NA,"Yorkshire and The Humber","No university"
7.8,"South East","No university"
NA,"East Midlands","No university"
NA,"East Midlands","No university"
NA,"West Midlands","No university"
12.200956937799,"East Midlands","No university"
9.6234309623431,"South East","No university"
11.7529880478088,"East of England","No university"
8.78378378378378,"South East","No university"
14.3389199255121,"South West","No university"
15.5555555555556,"East Midlands","No university"
7.73930753564155,"South East","No university"
10.6007067137809,"South East","No university"
5.46448087431694,"South West","University"
12.962962962963,"Yorkshire and The Humber","No university"
NA,"South East","No university"
16.6666666666667,"South West","No university"
8.7431693989071,"West Midlands","No university"
NA,"East of England","No university"
11.9402985074627,"West Midlands","No university"
NA,"South East","No university"
NA,"South West","No university"
11.4285714285714,"South West","No university"
16.4705882352941,"South West","No university"
NA,"South East","No university"
NA,"South East","No university"
11.1959287531807,"South West","No university"
NA,"North West","No university"
10.7883817427386,"South West","No university"
8.15217391304348,"South West","No university"
14.0350877192982,"South West","No university"
NA,"South East","No university"
11.4649681528662,"North East","University"
12.6582278481013,"North East","No university"
18.3127572016461,"North East","No university"
13.1493506493506,"West Midlands","No university"
11.3289760348584,"North West","No university"
13.9024390243902,"North East","No university"
7.08446866485014,"East of England","No university"
10.6503298774741,"East of England","No university"
12.0879120879121,"North West","No university"
12.5,"Yorkshire and The Humber","No university"
NA,"South West","No university"
14.4927536231884,"North West","No university"
15.6862745098039,"Yorkshire and The Humber","No university"
18.6234817813765,"West Midlands","No university"
